use_det,use_seg,use_pose,batch,threshold,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,±Łµ„,cpu_percent,mem_percent,context_switches,npu_percent,hrtt_networks,hrtt_switches_per_sec,hrtt_idle_time_pct,hrtt_run_time_sec,det_avg_fps,det_device_usage_pct,det_sched_threshold_pct,det_sched_timeout_pct,det_sched_idle_pct,det_avg_latency_ms,det_max_latency_ms,det_activation_ms,det_deactivation_ms,seg_avg_fps,seg_device_usage_pct,seg_sched_threshold_pct,seg_sched_timeout_pct,seg_sched_idle_pct,seg_avg_latency_ms,seg_max_latency_ms,seg_activation_ms,seg_deactivation_ms,pose_avg_fps,pose_device_usage_pct,pose_sched_threshold_pct,pose_sched_timeout_pct,pose_sched_idle_pct,pose_avg_latency_ms,pose_max_latency_ms,pose_activation_ms,pose_deactivation_ms
1,0,0,1,1,0,0,None,None,35.695848,None,None,11.897,11.6134,484895,70.9233,1,0,30,29,22.09,69.49,100,0,0,31,38,0.19,N/A,,,,,,,,,,,,,,,,,,
1,0,0,1,1,0,15,None,None,35.714177,None,None,11.7679,11.5395,471064,70.9079,1,0,30,29,22.06,69.49,100,0,0,32,38,0.19,N/A,,,,,,,,,,,,,,,,,,
1,0,0,1,1,0,31,None,None,35.712465,None,None,11.9127,11.6433,501326,70.9925,1,0,30,29,22.06,69.43,100,0,0,31,38,0.18,N/A,,,,,,,,,,,,,,,,,,
0,1,0,1,1,0,None,0,None,None,47.873589,None,10.9618,11.8317,744344,83.1485,1,0,18,29,,,,,,,,,,16.78,81.76,100,0,0,49,57,0.2,N/A,,,,,,,,,
0,1,0,1,1,0,None,15,None,None,47.864122,None,11.1768,11.7922,777128,83.0876,1,0,18,29,,,,,,,,,,16.82,81.72,100,0,0,49,56,0.2,N/A,,,,,,,,,
0,1,0,1,1,0,None,31,None,None,47.853367,None,10.814,11.7663,724421,83.1626,1,0,18,29,,,,,,,,,,16.81,81.74,100,0,0,49,56,0.2,N/A,,,,,,,,,
0,0,1,1,1,0,None,None,0,None,None,32.987743,13.0381,11.6383,698594,77.1407,1,0,23,29,,,,,,,,,,,,,,,,,,,21.81,76.62,100,0,0,35,48,0.19,N/A
0,0,1,1,1,0,None,None,15,None,None,32.982743,12.6818,11.6573,659362,77.1324,1,0,23,29,,,,,,,,,,,,,,,,,,,21.78,76.65,100,0,0,35,44,0.2,N/A
0,0,1,1,1,0,None,None,31,None,None,32.990082,13.023,11.5928,694788,77.0216,1,0,23,29,,,,,,,,,,,,,,,,,,,21.79,76.45,100,0,0,35,46,0.2,N/A
1,1,0,1,1,0,0,0,None,82.990005,83.424086,None,12.4593,12.3767,1280253,97.9953,2,20,5,29,10.14,39.85,100,0,0,39,44,171.73,N/A,10.14,54.77,100,0,0,54,62,184.97,N/A,,,,,,,,,
1,1,0,1,1,0,0,15,None,83.060614,83.383209,None,12.2459,12.3244,1292916,98.0083,2,20,5,29,10.14,39.84,100,0,0,39,43,172.09,N/A,10.14,NaN,100,0,0,54,64,185.7,N/A,,,,,,,,,
1,1,0,1,1,0,0,31,None,83.118085,83.482809,None,12.0678,12.3655,1272633,97.9986,2,20,5,29,10.14,39.83,100,0,0,39,43,171.55,N/A,10.14,54.77,100,0,0,54,68,184.68,N/A,,,,,,,,,
1,1,0,1,1,0,15,0,None,82.970816,83.407252,None,12.4848,12.2934,1285019,97.975,2,20,5,29,10.14,39.86,100,0,0,39,43,172.34,N/A,10.17,54.77,100,0,0,53,63,185.08,N/A,,,,,,,,,
1,1,0,1,1,0,15,15,None,82.950071,83.512546,None,12.3541,12.2774,1279965,97.98,2,20,5,29,10.14,39.72,100,0,0,39,43,172.15,N/A,10.14,54.86,100,0,0,54,69,184.7,N/A,,,,,,,,,
1,1,0,1,1,0,15,31,None,82.983617,83.516962,None,12.4353,12.2376,1273415,97.9801,2,20,5,29,10.11,39.85,100,0,0,39,53,170.95,N/A,10.14,54.73,100,0,0,53,62,184.92,N/A,,,,,,,,,
1,1,0,1,1,0,31,0,None,82.977472,83.407213,None,12.4266,12.2174,1279878,97.9616,2,20,5,29,10.07,39.76,100,0,0,39,43,169.87,N/A,10.07,54.64,100,0,0,54,68,183.18,N/A,,,,,,,,,
1,1,0,1,1,0,31,15,None,82.992722,83.342297,None,12.3647,12.2532,1267928,98.0133,2,20,5,29,10.14,39.77,100,0,0,39,43,173.66,N/A,10.17,54.87,100,0,0,53,65,185.99,N/A,,,,,,,,,
1,1,0,1,1,0,31,31,None,82.948164,83.452479,None,12.4391,12.2852,1278831,97.9859,2,20,5,29,10.18,39.77,100,0,0,39,42,174.19,N/A,10.18,54.87,100,0,0,53,63,186.15,N/A,,,,,,,,,
1,0,1,1,1,0,0,None,0,70.386638,None,70.378919,13.3973,12.076,1218595,97.6534,2,23,6,29,11.28,44.91,100,0,0,39,46,192.03,N/A,,,,,,,,,,11.31,48.1,100,0,0,42,55,202.26,N/A
1,0,1,1,1,0,0,None,15,70.329444,None,70.484382,13.0548,12.1057,1216263,97.6589,2,23,6,29,11.34,44.89,100,0,0,39,45,192.28,N/A,,,,,,,,,,11.37,48.21,100,0,0,42,52,204.89,N/A
1,0,1,1,1,0,0,None,31,70.25454,None,70.01299,13.9104,12.0769,1217971,97.6305,2,23,6,29,11.31,44.88,100,0,0,39,44,192.6,N/A,,,,,,,,,,11.34,48.24,100,0,0,42,51,202.82,N/A
1,0,1,1,1,0,15,None,0,70.331809,None,70.349276,13.3271,12.1014,1212298,97.6563,2,23,6,29,11.38,44.87,100,0,0,39,44,193.9,N/A,,,,,,,,,,11.38,48.28,100,0,0,42,51,205.13,N/A
1,0,1,1,1,0,15,None,15,70.426801,None,70.436722,12.988,12.1449,1199983,97.6931,2,23,6,29,11.38,44.84,100,0,0,39,44,192.36,N/A,,,,,,,,,,11.38,48.27,100,0,0,42,51,204.47,N/A
1,0,1,1,1,0,15,None,31,70.376476,None,70.526298,12.9591,12.1005,1198153,97.6784,2,23,6,29,11.34,44.86,100,0,0,39,45,192.09,N/A,,,,,,,,,,11.34,48.21,100,0,0,42,60,205.84,N/A
1,0,1,1,1,0,31,None,0,70.391686,None,70.36047,13.4647,12.0331,1224176,97.6619,2,23,6,29,11.27,44.91,100,0,0,39,48,191.04,N/A,,,,,,,,,,11.31,48.26,100,0,0,42,56,203.29,N/A
1,0,1,1,1,0,31,None,15,70.35864,None,70.39025,13.4064,11.965,1221211,97.6641,2,23,6,29,11.31,44.9,100,0,0,39,45,189.58,N/A,,,,,,,,,,11.31,48.21,100,0,0,42,51,201.91,N/A
1,0,1,1,1,0,31,None,31,70.368056,None,70.48148,13.0918,12.122,1219392,97.6695,2,23,6,29,11.34,44.9,100,0,0,39,44,193.33,N/A,,,,,,,,,,11.34,48.23,100,0,0,42,51,204.7,N/A
0,1,1,1,1,0,None,0,0,None,83.644611,83.075633,12.5921,12.2778,1496737,97.8767,2,,,,,,,,,,,,,9.57,52.64,100,0,0,54,66,165.05,N/A,9.57,41.09,100,0,0,42,51,164.34,N/A
0,1,1,1,1,0,None,0,15,None,83.758493,83.181386,12.1073,12.3508,1496602,97.8956,2,,,,,,,,,,,,,9.57,NaN,100,0,0,54,66,166.8,N/A,9.6,41.05,100,0,0,42,53,166.12,N/A
0,1,1,1,1,0,None,0,31,None,83.658398,82.996744,12.6613,12.3696,1488183,97.8722,2,,,,,,,,,,,,,9.57,52.78,100,0,0,55,66,168.99,N/A,9.6,41.05,100,0,0,42,53,165.04,N/A
0,1,1,1,1,0,None,15,0,None,83.63486,83.050522,12.0347,12.3579,1499637,97.9382,2,,,,,,,,,,,,,9.68,52.77,100,0,0,54,64,166.42,N/A,9.64,41.08,100,0,0,42,52,166.19,N/A
0,1,1,1,1,0,None,15,15,None,83.631658,83.085386,12.4518,12.3621,1488826,97.8825,2,,,,,,,,,,,,,9.6,52.79,100,0,0,54,65,166.59,N/A,9.6,41.05,100,0,0,42,51,167.15,N/A
0,1,1,1,1,0,None,15,31,None,83.548393,83.125966,12.4956,12.2181,1490673,97.8847,2,,,,,,,,,,,,,9.61,52.86,100,0,0,54,66,167.14,N/A,9.61,40.94,100,0,0,42,52,167.42,N/A
0,1,1,1,1,0,None,31,0,None,83.622616,83.115662,12.5053,12.2892,1488219,97.9088,2,,,,,,,,,,,,,9.54,52.69,100,0,0,55,72,166.55,N/A,9.57,41.12,100,0,0,42,57,165.4,N/A
0,1,1,1,1,0,None,31,15,None,83.653867,83.054085,12.4233,12.3132,1490138,97.9028,2,,,,,,,,,,,,,9.61,52.66,100,0,0,54,69,168.77,N/A,9.61,41.14,100,0,0,42,55,166.85,N/A
0,1,1,1,1,0,None,31,31,None,83.437038,83.071854,12.2542,12.4137,1490640,97.9296,2,,,,,,,,,,,,,9.67,52.84,100,0,0,54,64,167.67,N/A,9.64,40.97,100,0,0,42,51,167.28,N/A
1,1,1,1,1,0,0,0,0,121.943128,122.41785,122.029912,12.5877,13.0326,1991511,97.9194,3,20,6,29,6.8,27.01,100,0,0,39,44,117.06,N/A,6.8,37.28,100,0,0,54,64,111.94,N/A,6.8,28.93,100,0,0,42,50,115.21,N/A
1,1,1,1,1,0,0,0,15,122.113975,122.628284,76.792954,12.6719,12.8253,1969621,97.8918,3,21,7,29,5.14,20.47,100,0,0,39,45,85.39,N/A,5.14,28.18,100,0,0,54,67,90.78,N/A,10.27,44.24,100,0,0,42,53,179.79,N/A
1,1,1,1,1,0,0,0,31,122.118873,122.698916,76.804133,12.5125,13.0587,2007467,97.92,3,20,7,29,5.14,20.52,100,0,0,39,45,83.81,N/A,5.1,28.21,100,0,0,55,65,88.99,N/A,10.24,43.95,100,0,0,42,52,178.65,N/A
1,1,1,1,1,0,0,15,0,122.034976,83.677836,122.144015,12.259,12.9193,1979227,97.9412,3,19,6,29,4.87,19.38,100,0,0,39,46,80.21,N/A,9.74,53.45,100,0,0,54,69,173.45,N/A,4.84,20.63,100,0,0,42,52,84.06,N/A
1,1,1,1,1,0,0,15,15,126.851311,83.627311,83.166308,12.1938,12.8492,1946721,89.2672,3,19,6,29,0.03,0.13,100,0,0,38,38,0.52,N/A,9.47,52.45,100,0,0,55,66,163.22,N/A,9.44,40.67,100,0,0,42,54,161.91,N/A
1,1,1,1,1,0,0,15,31,126.833028,83.762488,83.117568,12.3044,12.8134,1966223,89.2676,3,19,6,29,0.03,0.13,100,0,0,38,38,0.34,N/A,9.44,52.35,100,0,0,55,72,165.27,N/A,9.44,40.76,100,0,0,43,58,162.98,N/A
1,1,1,1,1,0,0,31,0,122.039017,83.600365,122.0219,12.6446,12.8953,1970794,97.933,3,19,6,29,4.87,19.39,100,0,0,39,44,80.21,N/A,9.74,53.39,100,0,0,54,65,172.99,N/A,4.87,20.79,100,0,0,42,51,84.51,N/A
1,1,1,1,1,0,0,31,15,126.780938,83.598451,83.096473,12.3317,12.86,1972371,89.2896,3,19,6,29,0,0,NaN,NaN,NaN,0,0,N/A,N/A,9.47,NaN,100,0,0,55,69,163.92,N/A,9.47,40.82,100,0,0,42,54,162.05,N/A
1,1,1,1,1,0,0,31,31,126.84563,83.646441,83.141838,12.2213,12.8654,1952039,89.2491,3,19,6,29,0,0,NaN,NaN,NaN,0,0,N/A,N/A,9.47,52.49,100,0,0,55,68,164.24,N/A,9.44,40.76,100,0,0,42,53,162.13,N/A
1,1,1,1,1,0,15,0,0,76.73045,122.452956,121.946448,12.6596,12.8377,1983434,97.9214,3,21,6,29,10.61,41.95,100,0,0,39,44,179.05,N/A,5.31,29,100,0,0,54,64,94.9,N/A,5.27,22.43,100,0,0,42,51,95.81,N/A
1,1,1,1,1,0,15,0,15,70.514482,119.855017,70.402288,12.5753,12.9479,1933756,98.5391,3,22,7,29,11.24,44.6,100,0,0,39,46,190.58,N/A,0,0,NAN,NAN,NAN,0,0,N/A,N/A,11.24,47.97,100,0,0,42,52,201.09,N/A
1,1,1,1,1,0,15,0,31,70.360953,119.730647,70.299856,12.875,12.8602,1902688,98.5159,3,23,7,29,11.27,44.64,100,0,0,39,44,192.49,N/A,0,0,NAN,NAN,NAN,0,0,N/A,N/A,11.3,48.07,100,0,0,42,51,207.95,N/A
1,1,1,1,1,0,15,15,0,82.907797,83.371704,119.542472,12.5551,13.0317,1933494,98.5415,3,20,5,29,10.1,39.73,100,0,0,39,43,172.37,N/A,10.07,54.4,100,0,0,53,62,186.28,N/A,0,0,NaN,NaN,NaN,0,0,N/A,N/A
1,1,1,1,1,0,15,15,15,121.966295,122.535805,122.066251,12.7594,12.8908,1990430,97.9071,3,20,6,29,6.77,27.03,100,0,0,39,45,117.18,N/A,6.77,37.33,100,0,0,55,66,119.63,N/A,6.74,28.89,100,0,0,42,52,114.8,N/A
1,1,1,1,1,0,15,15,31,122.095449,122.613054,76.769452,12.6828,12.8309,1972355,97.9002,3,21,7,29,5.14,20.51,100,0,0,39,46,84.42,N/A,5.14,28.4,100,0,0,55,66,89.44,N/A,10.24,44.05,100,0,0,42,53,178.9,N/A
1,1,1,1,1,0,15,31,0,82.9677,83.450371,119.644373,12.4477,12.9012,1933219,98.5509,3,20,5,29,10.07,39.65,100,0,0,39,43,169.89,N/A,10.1,54.41,100,0,0,53,62,185.06,N/A,0,0,NaN,NaN,NaN,0,0,N/A,N/A
1,1,1,1,1,0,15,31,15,122.02337,83.59041,122.007707,12.7429,12.8364,1992995,97.9152,3,19,6,29,4.84,19.25,100,0,0,39,44,79.11,N/A,9.7,53.42,100,0,0,54,66,174.77,N/A,4.84,20.77,100,0,0,42,53,85.72,N/A
1,1,1,1,1,0,15,31,31,126.797058,83.628548,83.144055,12.2067,12.7658,1944272,89.2508,3,19,6,29,0,0,NaN,NaN,NaN,0,0,N/A,N/A,9.47,52.39,100,0,0,55,67,163.43,N/A,9.5,40.82,100,0,0,42,54,162.87,N/A
1,1,1,1,1,0,31,0,0,76.661313,122.333422,121.938813,12.9617,12.9703,2055067,97.9222,3,21,6,29,10.57,41.93,100,0,0,39,48,181.32,N/A,5.27,28.86,100,0,0,54,72,94.35,N/A,5.3,22.56,100,0,0,42,64,95.89,N/A
1,1,1,1,1,0,31,0,15,70.332237,119.636667,70.492169,12.6159,12.9742,1923747,98.5516,3,23,7,29,11.34,44.86,100,0,0,39,44,190.6,N/A,0,0,NaN,NaN,NaN,0,0,N/A,N/A,11.34,47.93,100,0,0,42,52,202.68,N/A
1,1,1,1,1,0,31,0,31,70.382141,119.580395,70.322025,12.9369,12.8583,1921520,98.5455,3,23,7,29,11.31,44.77,100,0,0,39,44,192.52,N/A,0,0,NaN,NaN,NaN,0,0,N/A,N/A,11.31,48.11,100,0,0,42,51,201.6,N/A
1,1,1,1,1,0,31,15,0,82.92327,83.472631,119.556598,12.8184,12.9135,1950598,98.5254,3,20,5,29,10.07,39.63,100,0,0,39,44,170.62,N/A,10.07,54.45,100,0,0,54,63,183.96,N/A,0.03,0.13,100,0,0,38,38,0.47,N/A
1,1,1,1,1,0,31,15,15,76.698401,122.470049,121.954467,12.657,12.9424,1994596,97.9138,3,21,6,29,10.61,41.91,100,0,0,39,44,179.93,N/A,5.3,29.01,100,0,0,54,65,94.91,N/A,5.27,22.43,100,0,0,42,50,96.44,N/A
1,1,1,1,1,0,31,15,31,70.322591,119.63447,70.342629,12.911,12.8426,1933692,98.5421,3,23,7,29,11.34,44.82,100,0,0,39,44,195.2,N/A,0.03,0.17,100,0,0,50,50,0.46,N/A,11.31,47.91,100,0,0,42,51,209.26,N/A
1,1,1,1,1,0,31,31,0,83.052459,83.520633,119.704426,12.453,13.01,1948056,98.535,3,20,6,29,10,39.48,100,0,0,39,46,170.12,N/A,10,54.37,100,0,0,54,72,185.91,N/A,0.03,0.13,100,0,0,38,38,0.34,N/A
1,1,1,1,1,0,31,31,15,82.982233,83.436488,119.49922,12.8037,12.8654,1925909,98.5378,3,20,5,29,10.07,39.6,100,0,0,39,43,171,N/A,10.1,54.57,100,0,0,53,63,187.86,N/A,0,0,NaN,NaN,NaN,0,0,N/A,N/A
1,1,1,1,1,0,31,31,31,121.885065,122.570633,121.94466,12.4512,13.0388,2006023,97.9567,3,21,6,29,6.84,27.11,100,0,0,39,44,118.97,N/A,6.84,37.16,100,0,0,54,63,121.42,N/A,6.84,29.12,100,0,0,42,51,116.05,N/A
